text,intent
"¿Cuál es el precio de la laptop HP?","consulta_precio"
"¿Cuánto vale la computadora Dell XPS?","consulta_precio" 
"Quiero saber el costo del iPhone 15","consulta_precio"
"¿Qué precio tiene el monitor Samsung 24 pulgadas?","consulta_precio"
"¿Tienen disponible la tablet Apple?","consulta_inventario"
"¿Hay stock del router Cisco?","consulta_inventario"
"¿Tienen en existencia el teclado mecánico?","consulta_inventario"
"¿Cuántas unidades quedan del disco duro Seagate?","consulta_inventario"
"¿Qué características tiene la GPU NVIDIA RTX 4080?","caracteristicas_producto"
"Quiero saber las especificaciones técnicas del servidor HP","caracteristicas_producto"
"¿Qué ventajas tiene el procesador AMD Ryzen 9?","caracteristicas_producto"
"¿Podrías recomendarme una buena laptop para programar?","consulta_recomendaciones"
"¿Qué equipo me sugieres para gaming?","consulta_recomendaciones"
"Necesito una recomendación de productos similares","consulta_recomendaciones"
"Hola, buen día","saludo"
"Buenas tardes","saludo"
"¿Cómo estás?","saludo"
"Adiós, gracias","despedida"
"Nos vemos luego","despedida"
"Hasta pronto","despedida"
"¿Podrías mostrar productos entre $500 y $1000?", "consulta_precio"
"¿Tienen laptops gamer en stock?", "consulta_inventario"
"¿Qué hace especial a esta motherboard?", "caracteristicas_producto"
"¿Cuál es el precio de la MacBook Pro?","consulta_precio"
"¿Cuánto cuesta el nuevo Samsung Galaxy?","consulta_precio"
"Quisiera saber el costo de los audífonos Sony","consulta_precio"
"¿Me dices el precio del smartwatch Garmin?","consulta_precio"
"¿Cuánto debo pagar por el teclado inalámbrico Logitech?","consulta_precio"
"¿Cuál es el costo del TV LG OLED?","consulta_precio"
"¿Qué precio tiene el dron DJI Mini 3?","consulta_precio"
"Necesito saber el precio de la PlayStation 5","consulta_precio"
"¿Cuánto vale la silla gamer Corsair?","consulta_precio"
"¿Qué precio tiene el micrófono Blue Yeti?","consulta_precio"
"¿Tienen stock del iPad Air?","consulta_inventario"
"¿Quedan unidades del Xiaomi Redmi Note?","consulta_inventario"
"¿Hay disponibilidad del SSD Samsung 2TB?","consulta_inventario"
"¿Tienen en existencia el disco duro externo WD?","consulta_inventario"
"Quisiera saber si tienen stock del Apple Watch Ultra","consulta_inventario"
"¿Cuentan con unidades del mouse Razer?","consulta_inventario"
"¿Hay disponibilidad del monitor ASUS ROG?","consulta_inventario"
"¿Quedan en existencia impresoras láser HP?","consulta_inventario"
"¿Pueden confirmar si tienen en stock el Echo Dot?","consulta_inventario"
"¿Tienen unidades del Kindle Paperwhite?","consulta_inventario"
"¿Qué características tiene el proyector Epson?","caracteristicas_producto"
"¿Cuáles son las especificaciones de la cámara Canon EOS?","caracteristicas_producto"
"¿Qué diferencia hay entre el iPhone 14 y el iPhone 15?","caracteristicas_producto"
"¿Cómo funciona el robot aspiradora Roomba?","caracteristicas_producto"
"¿Qué ventajas tiene la memoria RAM Corsair?","caracteristicas_producto"
